WORD TO INSERT,LINKED LIST SET TIME,HASH TABLE SET TIME,BINARY TREE SET TIME
soon,70000,71100,500
as,63900,65700,500
he,63400,64600,400
got,59300,61200,400
to,64400,66100,500
town,65100,66200,600
But,66100,67700,300
it,65500,66700,300
was,65800,67000,400
two,63900,65300,400
or,64700,65600,300
three,72600,74000,600
days,65100,66400,400
before,74200,75700,500
he,65700,67400,400
could,67400,68600,500
get,64800,66100,500
from,68600,70100,400
her,65700,66700,600
what,67700,69300,400
he,65800,67100,300
wanted,62600,63800,600
She,63600,65000,200
would,71300,72400,400
not,67800,69300,400
betray,35900,37700,900
her,64300,65300,600
trust,57700,59000,800
I,62900,64100,300
suppose,68000,71300,800
without,68900,71300,500
bribery,74900,77400,1400
and,66100,67300,200
corruption,70600,71700,1000
for,66800,68200,400
she,65100,82900,400
really,70900,72300,400
did,63400,64500,600
know,71300,73400,500
where,104700,106300,500
her,65000,66100,500
friend,71200,72400,800
was,65500,66800,400
to,65800,67000,400
be,63800,65300,400
found,64300,65300,500
Wickham,53100,54400,400
indeed,71800,73600,500
had,65900,67200,500
gone,66300,68100,400
to,64700,66000,300
her,65700,66700,600
on,67000,68100,300
their,71700,72800,300
first,71400,72900,300
arrival,71000,73200,400
in,64600,65500,400
London,69600,70900,400
and,67600,68700,100
had,64900,66600,400
she,66300,67600,400
been,69500,70800,400
able,61200,62700,400
to,64800,66100,400
receive,65400,66900,600
them,68200,69500,400
into,69400,71500,500
her,66000,67000,600
house,70600,72000,400
they,68100,70200,800
would,70000,71200,400
have,69100,70700,400
taken,71000,71900,400
up,63700,65200,400
their,71600,72900,400
abode,51400,58100,400
with,70600,71700,400
her,64500,65600,500
At,62900,64500,300
length,62000,63400,900
however,72300,76300,500
our,66100,67100,400
kind,62600,63700,500
friend,71100,72300,400
procured,52800,53900,1100
the,67200,68600,200
wished,70000,71400,400
for,64700,65800,300
direction,39500,40600,1200
They,68500,70400,300
were,65100,66500,400
in,66100,66900,400
street,53000,54400,800
He,64000,65200,300
saw,62800,64300,600
Wickham,56700,57900,300
and,66600,67500,100
afterwards,67700,70800,500
insisted,73800,75100,1900
on,64200,65200,500
seeing,67700,71200,700
Lydia,69600,70900,400
His,63300,64800,400
first,71100,72700,400
object,66500,67800,500
with,69900,70900,100
her,64800,65900,600
he,65400,66600,500
acknowledged,66000,67200,300
had,68400,69600,500
been,68900,69900,400
to,65700,67300,500
persuade,70500,72100,500
her,64400,65600,600
to,65600,66900,200
quit,57200,58700,500
her,65700,66700,500
present,69500,70700,600
disgraceful,49400,50600,900
situation,66700,67800,600
and,67500,68500,200
return,70100,71800,400
to,64300,68000,300
her,89900,90900,500
friends,89800,92100,700
as,64200,66000,400
soon,68300,69400,400
as,64400,66100,400
they,67800,69100,600
could,68100,69300,400
be,61900,63000,300
prevailed,57800,59100,600
on,65100,66000,400
to,65400,67000,300
receive,64100,66300,500
her,64800,66300,700
offering,58500,59900,700
his,98400,99600,300
assistance,52500,54700,400
as,49800,50800,300
far,46300,47000,400
as,49800,50800,200
it,50600,51500,300
would,55500,56400,300
go,49800,50800,300
But,50600,51800,300
he,50400,51400,300
found,51900,52700,300
Lydia,53900,55000,300
absolutely,50300,52000,300
resolved,48200,50400,600
on,50400,51100,200
remaining,46500,48000,600
where,51500,52600,400
she,50700,51800,300
was,77600,78800,400
She,65900,67000,200
cared,44600,45600,400
for,51500,52300,200
none,52900,54000,300
of,50600,51400,100
her,50100,50900,500
friends,57000,58100,300
she,50700,51800,300
wanted,50100,51100,400
no,50400,51600,200
help,50000,51000,600
of,50700,51400,100
his,50800,51900,300
she,50500,51500,200
would,54400,55300,300
not,50800,51800,200
hear,51700,52500,400
of,73100,73900,100
leaving,65700,67300,500
Wickham,44700,45700,200
She,49800,50900,200
was,50600,51500,300
sure,53300,54600,200
they,52200,53100,400
should,56000,57100,400
be,50300,51200,200
married,57300,58900,300
some,53700,55100,200
time,51200,52300,500
or,50600,51200,100
other,55400,56300,300
and,51400,52200,100
it,50700,51600,200
did,49100,50000,400
not,77600,81400,300
much,71400,72500,300
signify,20300,21300,800
when,50700,51800,300
Since,42200,43100,200
such,52800,53800,100
were,50300,51500,200
her,50100,50900,400
feelings,57200,58600,200
it,50800,51800,200
only,51200,53500,200
remained,54100,55300,400
he,50100,51100,300
thought,54500,55300,300
to,50300,51300,200
secure,51600,52800,500
and,51100,51900,100
expedite,57100,58500,1200
a,50900,51700,200
marriage,51500,52500,400
which,54700,55600,200
in,50400,51100,300
his,51100,54200,200
very,53200,54500,200
first,55100,56000,200
conversation,48500,49400,400
with,54200,55000,100
Wickham,45100,46000,300
he,50400,51300,300
easily,52100,53500,400
learnt,53000,53800,500
had,50900,51800,300
never,53400,54400,500
been,53800,54600,200
his,51100,52200,200
design,56200,57200,200
He,50900,51700,300
confessed,61700,63200,800
himself,71300,72300,400
obliged,55400,56300,400
to,50200,51200,200
leave,51600,55200,400
the,51300,52400,100
regiment,50600,51400,500
on,50500,51300,200
account,56800,57600,200
of,50800,51600,100
some,54100,55300,200
debts,10500,11100,700
of,46000,46700,100
honour,55500,56400,400
which,54800,55700,200
were,51500,52600,300
very,52700,54000,200
pressing,49900,51100,400
and,88100,89000,100
scrupled,23700,24900,700
not,50000,51000,200
to,50200,51200,200
lay,43600,44400,600
all,50600,51800,300
the,51000,52100,100
ill,49200,50000,400
consequences,51000,53500,800
of,50800,51500,0
Lydia,54300,55300,400
s,48100,49200,200
flight,900,1200,800
on,49700,50400,200
her,50200,51000,400
own,50400,51500,500
folly,43600,44400,400
alone,51500,55100,100
He,94500,95600,300
meant,74800,75800,700
to,64500,65600,200
resign,57500,58700,1400
his,51000,54500,200
commission,44000,44800,400
immediately,51600,52700,300
and,51400,52100,100
as,50000,51000,200
to,50400,51400,200
his,50700,51800,200
future,45100,46200,400
situation,52600,53500,400
he,50600,51600,400
could,53100,53900,300
conjecture,49100,50700,500
very,53200,54500,300
little,57200,58200,200
about,79100,80200,300
it,68300,69500,300
He,49400,50300,200
must,54200,55000,200
go,49900,51000,300
somewhere,49300,50600,500
but,50200,51500,300
he,50400,51400,200
did,49200,51900,300
not,50700,51700,300
know,53700,55000,300
where,52700,53900,300
and,51300,52100,100
he,50200,53100,200
knew,51800,53300,400
he,50200,51200,200
should,56100,57200,300
have,53300,54500,300
nothing,57500,60700,300
to,50100,51200,200
live,52300,55000,300
on,50400,51000,200
Mr,50500,51200,300
Darcy,52900,54200,200
asked,51400,52300,300
him,50900,52100,300
why,49400,50900,400
he,50400,51400,200
had,51000,52200,300
not,50700,51600,300
married,57600,58800,300
your,52900,53700,300
sister,53200,55800,300
at,50800,51900,200
once,50800,51700,300
Though,51200,52900,300
Mr,125200,127300,500
Bennet,67100,68300,300
was,51100,52100,300
not,51100,52100,200
imagined,40500,41700,700
to,50500,51500,200
be,50500,51400,200
very,53300,54600,200
rich,48600,49500,300
he,50200,51100,200
would,54700,55600,200
have,53200,54400,300
been,52700,53500,200
able,48100,49300,200
to,50300,51400,200
do,49600,51200,300
something,55500,56700,400
for,53000,53900,200
him,50800,51800,400
and,51400,52100,100
his,51000,52100,200
situation,52300,53200,500
must,54000,54900,100
have,53300,54600,300
been,52800,53600,200
benefited,39100,41100,500
by,50800,51800,100
marriage,52100,53100,400
But,51100,52400,200
he,50300,51300,300
found,52100,53000,300
in,50500,51300,200
reply,53400,58700,400
to,50300,51300,200
this,54100,55300,200
question,78700,80000,900
that,72700,73700,200
Wickham,78600,81700,300
still,54600,55400,300
cherished,24100,24800,600
the,50600,51800,100
hope,52600,54100,400
of,50700,51500,0
more,53000,54100,300
effectually,52000,53600,1200
making,55000,56700,400
his,50800,51900,300
fortune,58100,59400,200
by,50800,51900,200
marriage,51600,52600,300
in,50500,51100,200
some,53900,55200,300
other,56600,57500,300
country,51500,53300,400
Under,55700,58500,500
such,54000,55000,200
circumstances,41300,43800,500
however,55900,57400,600
he,50300,51300,200
was,50700,53500,300
not,51000,51900,300
likely,56800,58000,300
to,50400,51500,200
be,50200,51100,200
proof,40900,41800,400
against,54900,56700,400
the,51300,52500,100
temptation,42000,42900,700
of,50800,51500,100
immediate,43000,44100,600
relief,48500,49400,500
They,91600,107100,300
met,48500,49600,500
several,54900,56000,400
times,53900,56300,400
for,51300,52200,100
there,54100,55700,400
was,50800,51800,300
much,53600,54800,200
to,50200,85400,200
be,50500,55200,200
discussed,23200,23800,1000
Wickham,44200,45100,200
of,50700,51400,0
course,51300,53400,400
wanted,50000,51000,300
more,53300,54400,300
than,52800,53500,300
he,71900,73100,300
could,70100,71100,300
get,50100,50900,400
but,50500,51800,300
at,50700,51900,200
length,50200,51100,500
was,50800,51800,300
reduced,27300,28800,600
to,50000,51000,200
be,50400,51300,200
reasonable,35700,37500,600
Every,49300,50500,300
thing,54800,56100,200
being,51700,53500,300
settled,56100,57400,300
between,54800,55700,300
them,53600,54700,200
Mr,50400,51100,300
Darcy,53900,55000,200
s,48100,49300,200
next,53200,54100,200
step,51000,53000,500
was,50700,51700,200
to,50100,51200,100
make,51600,53100,300
your,51800,52500,300
uncle,47600,48900,500
acquainted,53200,54100,300
with,53500,54300,200
it,50700,51600,200
and,51400,52100,100
he,50300,51300,300
first,55300,56200,200
called,55300,56300,200
in,50300,50900,200
Gracechurch,37700,38700,300
street,44200,45300,600
the,75300,76600,200
evening,73500,74800,300
before,56600,57900,200
I,48900,52000,200
came,53600,55300,200
home,49600,50700,500
But,50800,51900,200
Mr,50300,51000,300
Gardiner,48700,51400,100
could,53100,54000,300
not,51000,55900,300
be,50600,51500,100
seen,50400,51300,400
and,51400,52100,100
Mr,50400,51100,200
Darcy,52600,53600,200
found,51200,53900,300
on,52300,53300,300
further,84000,84900,600
inquiry,47200,48400,700
that,54200,55100,200
your,52500,55500,300
father,55800,56700,300
was,50600,51600,200
still,54600,55500,400
with,54200,54900,100
him,50900,51900,400
but,50500,51300,200
would,55300,56300,200
quit,46500,47700,300
town,50800,51600,400
the,51500,52700,100
next,52300,53200,300
morning,56300,57400,300
He,49400,50400,200
did,69600,70800,400
not,54800,55900,200
judge,61100,63400,400
your,53000,53800,400
father,55500,56300,300
to,50300,51400,200
be,50500,51500,200
a,49300,50200,100
person,54300,55400,300
whom,50800,51800,300
he,50500,51500,300
could,53200,54100,200
so,50400,51500,200
properly,45600,46800,500
consult,47500,48300,400
as,50100,51100,300
your,53100,53900,200
uncle,47600,48800,300
and,86600,87500,100
therefore,55900,57400,300
readily,50400,51700,400
postponed,56300,57700,1000
seeing,53000,54000,400
him,51100,52100,400
till,52600,53500,300
after,53900,54600,300
the,51400,52500,100
departure,40500,42500,500
of,50800,51600,100
the,51300,52400,100
former,53200,54000,400
He,49300,50200,200
did,49300,50200,400
not,50800,51900,200
leave,51500,52700,500
his,51100,52100,200
name,76500,78300,300
and,67500,68300,100
till,52200,53000,400
the,51400,52500,100
next,52500,53400,200
day,50900,51900,300
it,50800,53800,300
was,50600,51600,300
only,50900,52300,200
known,55400,56200,200
that,53300,54300,100
a,49200,50100,200
gentleman,54000,55100,400
had,51100,52000,300
called,55500,56600,100
on,50500,51200,100
business,56200,57700,300
On,77400,78300,400
Saturday,50500,52100,200
he,65400,66500,200
came,53500,54500,200
again,52500,53300,400
Your,50500,51200,200
father,55900,56700,300
was,50700,51700,300
gone,51500,53000,300
your,52500,53200,300
uncle,47700,48900,400
at,50900,53900,200
home,49400,50500,400
and,51500,52300,100
as,50000,51000,300
I,49100,50100,100
said,53400,54900,200
before,56900,58200,300
they,80000,81100,400
had,67200,68200,300
a,49200,50100,100
great,53800,54700,400
deal,49700,50700,300
of,50800,51500,100
talk,52900,55100,500
together,52200,53500,300
They,52600,53600,200
met,48700,49800,500
again,72600,73700,300
on,67400,68200,100
Sunday,47200,48200,300
and,51500,52400,100
then,52000,52800,400
I,49000,49900,200
saw,48800,50100,500
him,87100,88100,300
too,49400,52500,300
It,50400,51400,100
was,50600,51500,300
not,50800,51800,200
all,50800,51900,300
settled,56200,57400,500
before,56900,58400,200
Monday,56200,57300,300
as,50000,51000,200
soon,53400,54300,300
as,50000,51000,200
it,50700,51600,300
was,50700,51700,200
the,51200,52300,100
express,53200,54600,400
was,50700,51700,200
sent,46000,48300,500
off,70100,71000,400
to,66300,67300,200
Longbourn,53300,54800,500
But,50900,52000,200
our,50500,51300,400
visitor,37600,38500,700
was,50600,51600,200
very,53300,54500,300
obstinate,37500,38500,800
I,48700,49700,200
fancy,51900,53000,400
Lizzy,54300,55400,200
that,54100,55000,200
obstinacy,48000,49000,400
is,50800,52200,200
the,51400,52500,100
real,48800,50400,300
defect,46300,47100,500
of,52200,53100,0
his,51000,53900,300
character,55100,56200,300
after,53800,54500,200
all,50600,51400,200
He,49800,50800,200
has,51100,54600,300
been,53900,54800,300
accused,25600,26200,700
of,50400,51400,200
many,52800,54400,300
faults,46500,48500,400
at,50800,52200,200
different,53100,53900,500
times,54000,55400,500
but,50300,51200,300
this,54300,55500,200
is,50700,51800,100
the,51200,53800,100
true,69900,71200,400
one,66900,68300,300
Nothing,55900,57000,400
was,50800,51900,400
to,50400,51400,200
be,50500,51400,200
done,45600,46500,400
that,53800,54800,100
he,50100,51100,300
did,49400,50300,400
not,50800,51800,200
do,49900,51100,200
himself,56400,57300,400
though,56000,57500,300
I,49000,50000,100
am,50000,51000,100
sure,53300,54500,300
and,56900,76700,100
I,66000,67000,200
do,49900,50800,200
not,50900,51900,200
speak,52500,54800,500
it,50800,53700,200
to,50400,51400,200
be,50400,51300,200
thanked,49900,50900,300
therefore,55700,57400,300
say,50000,52800,400
nothing,55500,56700,300
about,55300,56300,100
it,50800,51800,200
your,53100,54000,300
uncle,48000,49300,400
would,54100,55400,200
most,51300,52300,400
readily,77200,78700,600
have,69800,71000,300
settled,55600,56800,400
the,51500,52600,100
whole,52500,53700,400
They,52400,53600,200
battled,57900,59700,600
it,50800,51800,200
together,52200,55100,300
for,51600,52700,200
a,49300,50200,200
long,48000,49200,500
time,51600,52600,500
which,54500,56000,200
was,50700,51700,300
more,53000,54000,300
than,52600,53300,200
either,78600,79600,300
the,67200,68400,100
gentleman,53900,56900,400
or,50800,51600,100
lady,53800,55100,200
concerned,45900,47400,600
in,50400,51200,300
it,50700,51600,200
deserved,49500,50800,500
But,50800,51900,200
at,50600,51800,200
last,54000,55200,300
your,52400,53200,300
uncle,47800,49000,300
was,51000,52000,300
forced,51400,53200,300
to,50500,51500,200
yield,45900,46800,400
and,74300,75200,100
instead,71600,73200,500
of,51000,51700,100
being,53300,55200,300
allowed,53500,55900,300
to,50500,51600,200
be,51000,51900,200
of,50900,51700,0
use,51500,52800,100
to,50400,51400,200
his,51000,52300,300
niece,35600,38600,600
was,50800,51800,200
forced,51300,52700,300
to,50100,51200,200
put,47100,48000,600
up,49700,53100,200
with,54500,55300,100
only,86900,89200,200
having,54200,55900,300
the,51400,52500,100
probable,41800,44800,600
credit,54100,55000,300
of,50900,51600,100
it,50800,51800,200
which,55100,56100,300
went,41500,42100,400
sorely,57200,58700,900
against,55000,56100,400
the,51100,52300,100
grain,55800,56700,1000
and,51200,52000,100
I,49000,49900,200
really,55200,56300,300
believe,56900,58200,300
your,54700,55400,300
letter,70000,71300,500
this,68500,70000,100
morning,56200,57300,300
gave,50800,52900,300
him,51200,52200,300
great,54600,55600,300
pleasure,54300,55600,400
because,53000,54200,200
it,50600,51600,200
required,50400,51400,500
an,49900,51100,200
explanation,44400,45600,500
that,54300,55300,200
would,54600,55600,300
rob,14800,15100,700
him,47200,48200,300
of,50800,51600,100
his,52700,53800,200
borrowed,90800,92100,1000
feathers,57000,58200,900
and,51600,52300,100
give,54800,58100,200
the,51300,52400,100
praise,53300,55300,300
where,52100,53300,300
it,50900,51800,200
was,51000,52000,200
due,46900,47900,300
But,50900,52000,200
Lizzy,54600,56200,200
this,54500,55800,100
must,53400,54300,200
go,49900,51400,300
no,50900,52200,100
farther,40600,41600,500
than,80000,80900,300
yourself,70500,71900,300
or,50700,51400,100
Jane,53800,55100,200
at,51000,52000,200
most,50400,53200,400
You,51900,53000,100
know,52500,54000,300
pretty,54200,55200,400
well,53300,54200,200
I,49300,50300,100
suppose,53400,54500,600
what,52800,54000,200
has,51000,52100,400
been,53100,53900,200
done,45300,46200,400
for,51300,52500,100
the,53400,56100,100
young,55600,57400,200
people,54300,55900,400
His,48700,49900,300
debts,10800,11300,700
are,46200,47300,300
to,50500,51600,300
be,50400,51400,100
paid,52300,54300,400
amounting,56600,58600,700
I,49200,50100,100
believe,56700,58000,300
to,50400,51400,200
considerably,30400,31400,500
more,53100,54300,300
than,52600,53300,200
a,49400,50600,200
thousand,56900,59600,300
pounds,53100,54800,400
another,78500,79800,200
thousand,73700,74600,200
in,50600,51400,200
addition,46300,49200,400
to,50500,51500,200
her,50500,51300,500
own,50400,51400,400
settled,55900,57100,600
upon,52700,53500,300
her,50400,51200,300
and,51400,52100,100
his,51100,52200,100
commission,43900,44700,500
purchased,37200,38300,800
The,51600,52800,0
reason,50000,51100,400
why,49400,50600,400
all,50800,53300,300
this,89900,91300,200
was,50800,51800,200
to,50500,53400,200
be,50600,51500,200
done,46300,47200,400
by,50800,52000,100
him,51100,52100,300
alone,51900,55300,200
was,50800,51800,200
such,54100,55200,100
as,50100,51400,200
I,49000,49900,200
have,53100,56200,400
given,51800,52800,400
above,52200,53300,400
It,50600,52000,100
was,50900,51900,300
owing,44000,46900,600
to,75400,76600,300
him,67000,68100,200
to,50600,51600,200
his,51100,52200,200
reserve,57200,58900,300
and,51400,52100,100
want,54000,54900,200
of,51000,51700,0
proper,51200,52100,400
consideration,49700,50600,300
that,54100,55100,200
Wickham,45300,46300,300
s,48300,49300,200
character,55200,56200,300
had,51000,52000,300
been,53800,54600,200
so,50600,51700,200
misunderstood,11800,12300,700
and,48300,49100,0
consequently,82600,83900,400
that,53700,54800,200
he,50500,51600,400
had,51500,52600,400
been,53300,54200,200
received,73100,75000,300
and,69200,70100,100
noticed,45100,46100,600
as,50200,51200,300
he,50500,51500,300
was,51200,52200,300
Perhaps,53200,54400,400
there,54400,56500,500
was,50900,51900,300
some,54000,56100,400
truth,55500,56400,200
in,74400,75100,300
this,70400,71700,200
though,56500,57900,300
I,49100,50100,100
doubt,50700,54100,500
whether,54100,55400,400
his,51500,52700,200
reserve,56600,58300,300
or,50600,51200,200
anybody,53000,57100,300
s,48100,49100,300
reserve,55400,56800,200
can,50700,51900,300
be,50800,51800,200
answerable,42300,43300,300
for,51700,52800,200
the,51600,52700,100
event,53900,54800,600
But,74000,75400,200
in,65300,66000,300
spite,51100,52500,800
of,50800,51700,100
all,51000,51900,200
this,54400,55700,200
fine,53100,54300,200
talking,53500,54800,500
my,50600,54600,200
dear,53300,55000,200
Lizzy,54800,56400,200
you,51100,52100,200
may,70300,72900,200
rest,66100,67300,300
perfectly,51400,53200,400
assured,51500,52900,400
that,80800,81900,200
your,71000,71800,300
uncle,48000,49600,500
would,54700,56000,300
never,52800,53700,400
have,53700,54900,300
yielded,4700,7200,400
if,47300,48400,400
we,49600,50800,400
had,50900,52000,400
not,51100,52100,200
given,50900,53500,300
him,51000,52400,300
credit,54900,55900,300
for,51300,52200,200
another,56000,56900,200
interest,53200,56400,600
in,50600,51300,200
the,70400,71600,200
affair,46000,46700,400
When,53300,54200,300
all,50700,51500,200
this,54100,55400,200
was,51000,52000,300
resolved,48200,50600,600
on,50400,51100,200
he,50400,51400,200
returned,56900,58000,200
again,52700,57400,300
to,50400,51500,200
his,50900,52000,200
friends,57100,59600,300
who,50800,51800,300
were,52300,53500,400
still,54600,55500,200
staying,46900,48000,700
at,52400,53800,300
Pemberley,50700,52500,300
but,50500,51600,300
it,50900,51800,200
was,50700,51600,300
agreed,56900,58000,200
that,54200,55200,200
he,50400,51400,300
should,55800,57100,200
be,50600,51500,100
in,50400,51000,200
London,54300,55300,300
once,51000,52300,300
more,53000,54100,300
when,52300,53200,400
the,51500,52700,100
wedding,42200,44100,500
took,49300,50600,400
place,56800,57900,200
and,51500,54100,100
all,50900,51600,200
money,42400,44000,600
matters,43900,45800,400
were,51200,52400,300
then,51900,52800,400
to,50200,51200,200
receive,51800,53100,400
the,51300,52400,100
last,53600,54900,300
finish,47300,49000,300
I,49200,50200,200
believe,56600,58600,300
I,49000,50000,100
have,53800,55000,200
now,50500,51400,300
told,53100,54000,200
you,51100,52100,200
every,59600,60900,500
thing,84300,86200,300
It,65300,67000,100
is,50900,52100,100
a,49400,50600,100
relation,51500,52300,600
which,54800,55700,200
you,51200,52200,200
tell,53600,54400,300
me,50300,51300,200
is,50900,51900,100
to,50400,51400,100
give,53700,54800,100
you,50900,51800,200
great,53800,54700,300
surprise,53800,55400,500
I,49100,50100,100
hope,54400,55800,300
at,50900,51900,200
least,54200,56300,400
it,50800,51800,300
will,53100,53900,200
not,51000,53900,200
afford,29400,30400,600
you,50700,51700,100
any,50200,51700,200
displeasure,41300,42800,700
Lydia,54100,55200,400
came,53500,54500,200
to,50200,51200,200
us,49800,52000,300
and,51600,52600,100
Wickham,45300,47000,200
had,51100,52100,300
constant,44500,45200,300
admission,56800,57800,900
to,52100,53100,100
the,75500,76700,100
house,69300,70400,300
He,49600,52400,200
was,50900,51900,300
exactly,51600,53000,500
what,53100,54300,300
he,50300,51300,300
had,51100,53900,300
been,53600,54500,300
when,52100,53000,300
I,49200,50100,200
knew,51100,52500,400
him,50900,52000,300
in,50700,51300,300
Hertfordshire,48900,50700,200
but,50700,51500,300
I,49000,50000,100
would,57600,58800,300
not,51100,52100,200
tell,53400,54300,300
you,51100,52000,200
how,50600,51500,400
little,57600,58700,200
I,49100,50100,100
was,50900,51900,300
satisfied,52800,54200,600
with,54500,55300,100
her,50500,51300,400
behaviour,53500,54600,300
while,53700,54800,300
she,51000,52000,300
staid,55800,57000,1200
with,54400,55200,100
us,49900,50800,300
if,49700,50500,400
I,50800,51800,100
had,51300,52300,200
not,51000,51900,200
perceived,40600,41400,600
by,50800,51900,100
Jane,54500,56100,100
s,48400,49400,100
letter,47900,48800,400
last,53400,54700,300
Wednesday,46500,48800,300
that,53700,54700,200
her,50600,51400,400
conduct,48900,49900,500
on,50700,51400,200
coming,49700,51400,400
home,49800,51000,400
was,50900,51800,300
exactly,51600,52900,600
of,50900,51700,100
a,51000,55800,200
piece,46400,47500,600
with,54300,55000,200
it,50900,51800,300
and,51500,52200,100
therefore,55900,57100,300
what,52900,54100,300
I,49100,50100,200
now,50600,51600,300
tell,53400,54300,200
you,51300,52300,300
can,50500,51300,300
give,53400,54400,100
you,51200,52100,200
no,51000,51900,100
fresh,37100,37900,800
pain,44600,45200,500
I,49100,50100,100
talked,54300,55200,500
to,50600,51700,200
her,50600,51400,400
repeatedly,47100,48200,700
in,50600,51300,100
the,51500,52600,100
most,51000,51900,400
serious,51700,52900,500
manner,55800,56800,300
representing,27300,28100,900
to,50200,51200,200
her,50400,51100,400
all,51100,51800,200
the,51400,52500,100
wickedness,19200,20400,700
of,49100,49800,100
what,53100,54300,300
she,50800,51900,300
had,50900,51900,300
done,46000,47000,500
and,52900,53600,100
all,50900,51600,300
the,51400,52500,100
unhappiness,19100,19800,900
she,49300,50400,200
had,51000,51900,300
brought,55500,56300,300
on,50600,51300,100
her,50400,51300,400
family,53900,55200,300
If,49300,50000,200
she,51000,52100,200
heard,55700,56500,400
me,50400,51400,300
it,50700,51600,300
was,50900,51800,300
by,50800,51900,100
good,54000,55800,200
luck,38800,39900,600
for,53000,53900,200
I,49200,50200,200
am,50100,51200,200
sure,53300,54600,300
she,50900,52000,200
did,49600,50500,400
not,50900,51900,200
listen,48400,49200,600
I,49000,50000,100
was,50600,51600,200
sometimes,53900,55200,400
quite,53800,54800,300
provoked,43300,44300,700
but,50400,51200,300
then,52600,53500,400
I,49200,50100,200
recollected,39300,40100,500
my,50300,51300,300
dear,53700,55300,100
Elizabeth,56600,57700,300
and,51800,52600,100
Jane,54400,55700,100
and,51500,52200,100
for,51300,52100,200
their,55500,56500,200
sakes,53100,54500,300
had,51000,52000,300
patience,49600,51300,600
with,54500,55200,100
her,50600,51400,300
Mr,50700,51700,300
Darcy,52600,54300,200
was,50800,51800,300
punctual,46100,47000,600
in,50600,51300,200
his,51300,52300,200
return,55400,57600,200
and,51700,52500,100
as,90700,91800,400
Lydia,122900,124100,300
informed,85600,86600,500
you,51000,51900,200
attended,51500,52600,400
the,51300,52500,100
wedding,42000,43300,400
He,49600,50400,200
dined,50400,51400,400
with,54500,90700,200
us,49900,51000,200
the,51300,52400,200
next,53300,54300,200
day,51000,53800,300
and,51500,52400,0
was,52600,53600,300
to,50400,51500,200
leave,51600,54000,500
town,51100,52000,400
again,52200,53200,300
on,50500,51200,100
Wednesday,46700,47900,400
or,51000,51700,100
Thursday,38300,39100,400
Will,45400,46100,200
you,51000,52000,200
be,50600,51500,200
very,53200,54600,200
angry,52500,54300,200
with,54200,54900,100
me,50200,51300,200
my,50300,51800,300
dear,53300,54400,200
Lizzy,56300,58100,200
if,50000,50800,400
I,49400,50400,100
take,52800,54600,300
this,53200,54600,200
opportunity,48200,49300,300
of,51100,51900,100
saying,51600,52800,400
what,52300,53600,300
I,49100,50100,200
was,50900,51900,200
never,53500,54400,400
bold,53900,54600,800
enough,57300,59000,200
to,50500,51500,100
say,50300,53100,300
before,56700,58000,200
how,50800,51700,300
much,53500,55300,300
I,50600,51600,100
like,52800,55600,400
him,51200,52200,300
His,48900,50100,300
behaviour,53900,55000,300
to,50500,51600,200
us,49600,50700,200
has,50900,52100,300
in,50700,51400,200
every,53400,54700,400
respect,58300,59600,300
been,53900,54600,200
as,50200,51300,200
pleasing,54200,55300,400
as,50200,51200,200
when,53500,54300,300
we,49600,50600,400
were,51100,52300,400
in,74400,75200,300
Derbyshire,69200,70400,200
His,48700,49900,300
understanding,49600,50800,300
and,51500,52300,100
opinions,52600,53700,200
all,51000,51900,200
please,53400,54500,400
me,50400,51500,200
he,50600,51600,300
wants,39700,41100,400
nothing,55900,57100,300
but,50600,51400,200
a,49400,52200,100
little,57100,58200,200
more,53400,54500,300
liveliness,42400,45400,500
and,51500,52200,100
that,55600,56600,200
if,49700,50500,300
he,50600,51600,200
marry,44500,47600,400
prudently,56700,58200,1100
his,51300,52400,200
wife,54100,56000,200
may,51500,52500,100
teach,30700,33300,700
him,50900,51900,300
I,49200,50200,100
thought,54800,55600,400
him,51200,52200,300
very,53300,54500,300
sly,12300,12600,700
he,45600,46600,200
hardly,52400,53700,500
ever,51700,52600,400
mentioned,53500,54400,400
your,54600,55300,300
name,87400,91000,300
But,52100,53600,200
slyness,40800,41900,600
seems,48500,49900,500
the,51400,52500,100
fashion,55600,56400,300
Pray,45600,46700,300
forgive,52900,54200,400
me,50400,51400,200
if,50000,50800,300
I,49100,55100,200
have,53900,55100,200
been,53300,54100,200
very,52400,53600,200
presuming,56900,58100,900
or,50900,51500,100
at,51000,52000,100
least,56100,57800,400
do,50100,51000,300
not,51300,52300,200
punish,46900,49000,500
me,50500,51500,200
so,50700,51800,200
far,46700,47400,300
as,50100,51100,200
to,50300,51400,200
exclude,58500,59800,800
me,50300,51300,200
from,53600,55000,200
P,49900,50700,800
I,49300,50200,100
shall,54100,54900,500
never,53300,54200,300
be,50500,51400,200
quite,53000,54100,200
happy,52200,53300,400
till,53000,53800,400
I,49400,50300,100
have,53700,55000,200
been,53000,55500,200
all,51300,52100,300
round,52200,52900,200
the,51800,52900,100
park,41700,42400,700
A,49200,50400,200
low,45200,46200,400
phaeton,46100,47000,500
with,54000,54700,100
a,49400,50200,100
nice,42500,43400,400
little,57500,58600,200
pair,47900,48800,400
of,51000,51700,0
ponies,45200,46300,500
would,56500,57400,300
be,50800,51700,200
the,51700,52800,100
very,53300,54600,300
thing,55100,56200,200
But,51400,52500,300
